id;text;user_id;link;md_1
1;reboot;Kroon panel B2C;payment B2C reinvent;Central Singapore Ball
2;Iceland optimal;grey driver;Borders;Gibraltar
3;Associate;栋;card;桥 Operations
4;interfaces;Steel SDR;Malta dot-com Greenland;旁
5;monitor GB;alarm Account e-business;utilize;paradigm payment Mouse
6;Gorgeous;Hat Balanced Down-sized;Strategist;侬
7;backing;6th;Pants Re-engineered;Metal
8;task-force;宁夏 Granite;宁夏 Market sensor;Concrete repurpose
9;Lilangeni;Soft deposit;Account interactive;侬
10;Human bypass SMTP;西藏 synergistic mobile;Ruble Hat;Creative fresh-thinking Grocery
