id;fieldname;value;fielddbtype;labelname;fieldlabel;detailtable;jhi_show;is_card_field;order_num
1;Metal;impactful;Account Producer;website Strategist;reboot;Dollar 江苏省;true;false;11154
2;Boliviano Buckinghamshire copy;Producer;侬 tan leading;compressing 街;interface;payment;true;true;72297
3;Cotton;Persevering;Polynesia maximize;AGP XSS;江西省 infrastructures fuchsia;overriding;true;true;76269
4;pixel;桥 virtual Strategist;Buckinghamshire program hacking;reciprocal Central;Oro Account;invoice Bacon;true;true;73390
5;pixel;Avon Avon;firewall Pound Account;SAS programming Kenya;Movies connect;Total;true;true;26086
6;quantifying;incremental Avon Intranet;bypassing;Cheese;街 Gabon;moderator;true;true;9354
7;dynamic Administrator haptic;Checking JBOD;withdrawal Incredible concept;primary;online attitude Bacon;zero Investor Incredible;false;false;82648
8;Functionality;responsive;back-end Future;Plastic payment Strategist;convergence;orange;true;true;45026
9;program challenge;Litas;Mobility Ergonomic Buckinghamshire;Assistant Grocery;Bedfordshire;Applications;false;false;81261
10;Metal Virtual;indexing Optimized;back-end Enhanced;SAS azure Cambridgeshire;synthesize;路 plug-and-play Mexican;false;true;88176
