id;text;link;card_id;auxiliary;open
6d674d8a-3bb8-41dd-a305-96f7240f9d13;Bike microchip Won;teal;Movies payment;microchip channels Sausages;true
f27037d3-2ce0-44ff-b61c-38fa05171a73;街 analyzer;Steel integrated Loan;宁夏 Facilitator;hacking Colombian Bike;true
c002e06a-8d6d-4fe0-a38d-d27da2dfc9c7;Guarani;Thailand;Montserrat;array Table;true
4549dfd0-436d-4050-88bb-16a851ddaf2f;Division;JBOD Automotive;XML 陕西省;bypassing;false
eb554dad-3fc5-46de-a311-118c23648fb3;Australian challenge;旁 maroon;Frozen AI Strategist;compress;false
c495f96a-2130-48a0-925d-d2256183bd0f;red lavender relationships;Sleek Cotton;Gibraltar Agent;calculating;false
544e7f26-ae6d-421a-9baf-ae57241a6cbd;Factors Senior;parse Chair Islands;TCP azure Fantastic;Cotton;false
dc9a9888-db5e-43ab-bcc4-61c15305907d;parsing magenta THX;seamless;Account 桥 Refined;scalable;false
35c2fdb8-5bb4-498c-bd38-db173ba02d90;haptic black;Brand Account;robust SAS real-time;Rufiyaa payment Forward;true
360df553-b2bf-41e9-b5d8-78924b149d52;Computer 中心;emulation portals open-source;reintermediate capacitor;Account Gloves Gorgeous;true
